id,Tweet
1393424302955970566,.@Shell is trying to pull off a climate scam! Help expose them! Write to Shell's biggest shareholder @Blackrock now →  https://t.co/T6DnIMD2Vt #NoPlanetB #ClimateAction  https://t.co/eqAcqbj5UL
1393421314149556226,"I will be championing the #ClimateAction at my school University of Ilorin, Ilorin Nigeria, the aim to enlighten students on the reality of climate change, we have over 40k student, we aim at getting  over 30k students key into #ClimateAction by 2022. Cc @akaOMOLUABI"
1393420346662047746,This is an example of what #ClimateAware clinical practice looks like 👉🏻 supporting patients with their #adaptation behaviors &amp; helping them cope with climate &amp; #environmental events. It also means advocating for #ClimateAction to ⬇️ risk.   #ClimateChangesHealth #ClimateChange
1393418707175542784,Let's Change The Story - there's still time to fix climate change - with #climateaction. We have the #Technologies to do it NOW. @climatecouncil  https://t.co/iA4OKLhpwH via @YouTube
1393407252208525317,"“Tobacco companies wouldn’t exist without smokers, the story goes. Litter wouldn’t exist without us litterbugs.” - the truth is, climate change would most definitely not exist if oil companies didn’t exist, we can’t pollute what we can’t buy #ClimateAction  https://t.co/pfpDW8TPdY"
1393406483891507200,"If pollution is an #allergy trigger for you, avoid regular physical activity near busy roads or near other sources of combustion like burning wood, biomass, or other materials.  #ClimateAction #ClimateCrisis #ClimateActionNow #climate #CleanAir #lunghealth #asthma #severeasthma"
1393405605298130944,This may be story from 29th April but Germany you win my heart. FOR THE PEOPLE! YES GOVERNMENTS! You have an OBLIGATION to look after YOUR PEOPLE &amp; YOUR COUNTRY. ALL of it. #ClimateAction   Germany’s Top Court Finds Country’s Climate Law Violates Rights  https://t.co/aPCZvv4iJp
1393400748222959621,"If everyone in the world planted a tree every day for a year, we almost DOUBLE the number of trees around the world.  It's simple, it's easy. Yet, most people just aren't bothered!  Do it today in just SIX STEPS -  https://t.co/mfGoWP49Qf  #ClimateAction #PlantATreeToday  https://t.co/bPjhmjwgt1"
1393396214499090444,🌏What can you do against climate change right now?  - Tip #5 🔌💡How to use energy efficiently? #ActNow #ClimateAction  https://t.co/zN0dBcKTXc
1393392965335269379,@mariaressa Countries that contribute the least to global carbon emissions are the ones most negatively impacted. Demand climate action now! #ClimateAction
1393388971296583680,"""Like fossil fuel companies that funded research to promote climate skepticism, meat and dairy companies have funded experts to undermine scientific findings."" #FactoryFarming #AnimalAg #Dairy #Meat #ClimateAction #Environment #Health #Water #Pollution    https://t.co/S8a4mWoT7X"
1393387716323184642,"#ClimateAction = JOBS!  The #AmericanJobsPlan lays the foundation stones for a climate resilient future.   The American Jobs Plan is, in many ways, built around climate action.   Cont.."
