id,Tweet,Label_EIII_v2,Stance_EIII_v2,NNAgainst,NNFavor,NNPred
1343345719374188544,"even though this person is basically using feminism as a weapon against people (including women) like me, I really hope she finds peace. something obviously created a lot of pain for her",0,Uknown,0.4297502,0.5702498,0
1343345503434649600,"This... Opinion | During the Coronavirus, Feminism Has Failed Women - The New York Times URL",0,Uknown,0.6928413,0.30715868,0
1343345499278086144,So I am a mixed Black person and that has evolved as society has evolved. But it’s also important to know when a conversation isn’t for you. Like the time I was on a panel and they asked me about intersectional feminism and I literally passed the mic to Black women.,0,Uknown,0.32849506,0.671505,0
1343345498862858240,"Bidisha, in Chapter 6 of The Fifty Shades of Feminism: URL",0,Uknown,0.5700113,0.42998868,0
1343345262228631554,USER because of feminism. ;-) balls are a misogynist affair that maintain gender stereotypes alive and objectify women.,0,Uknown,0.9227466,0.07725344,-1
1343345245904375809,"Dumped a blockbuster to watch #Misbehaviour tonight with the daughter. We LOVED it. If you want to see a film full of amazing female actors, highlighting an important event in feminism, check it out. It’s great. The only question it left us with was “How far we still have to go!” URL",0,Uknown,0.10114852,0.8988515,1
1343345201704820738,and the plot made no sense tbh.... and i hated the forced feminism...,0,Uknown,0.6759885,0.32401156,0
1343345154741186562,"USER #BidenHarris2020 Joey, you are being sexist. Disgusting. You are controlling what a woman does and says. Let her speak. She wants Medicare for All. Kamala, I’m so sorry for whatever Joe does to u in the next four years.",0,Uknown,0.5771429,0.42285714,0
1343344768638599168,"It's time to be honest about the burden we're putting on women, particularly those without the resources to throw at the problem. For 2021 and beyond, I'm reframing my feminism as solidarity, not success. Thanks, USER URL URL",0,Uknown,0.038972195,0.9610278,1
1343344578393382912,WW84 and Captain Marvel have this very aloof white feminism feel to them that I can’t quite put into words but I didn’t get that feeling from Birds of Prey and I think it has something to do with the directors,0,Uknown,0.7325214,0.2674786,0
1343344398797574145,"don’t cancel me af but thinking it’s ok to downgrade men but calling it equality? i think that to understand feminism you need to understand why it was put there in the first place and what it truly means, not calling men “all bad” because that’s not true at all,learn ur morals",0,Uknown,0.79431516,0.2056849,0
1343343986073858049,"USER USER Teach 'm how disruptive &amp; destructive it's been to the modern family Teach' m it's a trap disguised as a good cause Teach'm how it views men &amp; boys Teach'm what it did for father's rights &amp; male DV victims Yes, by all means Teach'm about feminism proper",0,Uknown,0.8094707,0.19052935,-1
1343343968378101761,My favourite name to see USER USER URL,1,Favor,0.1185668,0.8814331,1
1343343764002254854,Boy Scouts of America accuse Girl Scouts of starting 'war'. Lol!! You reap what you sew. URL,0,Uknown,0.27271786,0.7272821,1
1343343574323224578,"The sequel to Inuyasha, Yashahime: Princess Half- Demon, embarks us on a new journey through the lives of three strong young heroes who give a new definition on feminism in anime. #feminism #inuyasha #yashahimeprincesshalf-demon URL URL",0,Uknown,0.02712357,0.9728765,1
1343343519570640896,"If anybody finds themselves confused or worried based on the fearmongering people are trying to spread, especially about trans people being able to access the healthcare they need, or purported implications for feminism, I'm happy to take the time to talk through it with you.",0,Uknown,0.86787087,0.13212912,-1
1343343461861371907,"USER So many people who call themselves feminists don’t get that unless it’s intersectional it’s not truly feminism. Rachel Cargle essentially said that unless you fight for ALL women, white feminism is basically white supremacy in heels...but most people aren’t ready for THAT convo",0,Uknown,0.6455518,0.3544482,0
1343343219015225344,"So now there’s orgasm inequality because culturally we are more focussed on ‘penile intercourse’ and not ‘clitoral intercourse’. It’s all the social scripts on masculinity’s fault! Men bad, women oppressed. Who else is sick of this merry-go-round?! Gosh I hate modern feminism. URL",0,Uknown,0.8097956,0.19020437,-1
1343343170978009088,can bts turn off their feminism for a day and perform war of hormone,0,Uknown,0.6572791,0.34272102,0
1343343137071243265,"USER USER Financial independence for women means its more viable to have have families with no father present. Boys I've seen that have been raised without fathers tend to be either: - efeminate - hostile to women and feminism It depends how he reacts to being disciplined for ""maleness""",0,Uknown,0.8758914,0.12410866,-1
1343343073946812416,"USER ... being born there for sure. If you wanted to destroy a nation’s culture — you’d promote radical feminism and destruction of the family unit. You’d try and confuse young children as to their gender, or even which pronoun they should use...",0,Uknown,0.87621766,0.12378237,-1
1343342965117206528,"USER USER It's because of feminism. No-one has an issue with respecting woman, just being told to by a Corrupt global communist organisation that respects nobody.",0,Uknown,0.9560975,0.043902535,-1
1343342736728969216,USER I don’t hate men at all. I’m very comfortable being a man. What I dislike is groups who purport to care about men and men's well-being but offer solutions aimed in fact at attacking women and feminism rather than genuinely helping men.,0,Uknown,0.60004354,0.39995646,0
1343342734174785537,Got a few minutes? Check out this post: How Feminism Hurts Men URL,0,Uknown,0.8442657,0.1557343,-1
1343342665170120706,"USER USER USER USER Yeah, darn me and my *checks notes* bodily autonomy for all, and freedom of choice? Pretty sure acktchual Feminism ™ is big on choices.",0,Uknown,0.97577125,0.024228744,-1
1343342578914230274,"USER exactly, the whole point of feminism is for being equal when a lot of women use it to downgrade men? which isn’t the purpose at all rather role reversing",0,Uknown,0.54243916,0.45756084,0
1343342478196416513,"Angel, this is such a beautiful article, you write so flawlessly. Thank you so much for putting pen to paper on our Nigerian version of feminism",0,Uknown,0.11367592,0.88632405,1
1343342366590201857,"When did #TheRipper become about feminism? You have a right to walk alone at night if you want love, you’re probably gonna die though.....",0,Uknown,0.54210824,0.4578917,0
1343342333119574019,"USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER I grew up in a time when gender was viewed differently and I discovered the predecessor of ""GC"" feminism which helped me deal with issues around gender and realize gender roles themselves were bad.We didn't have ""identities.There was only transsexual which I knew I wasn't",0,Uknown,0.9740753,0.025924668,-1
